,url,name,year,en_name,poster_url,rating,country,genre,director,main_actors,lentgh
491,https://www.kinonews.ru/movie_1166/american-gangster,Гангстер,2007,American Gangster,https://www.kinonews.ru/movie_1166/american-gangster,8.25,['США'],"['драма', 'криминал']",Ридли Скотт,"['Дензел Вашингтон', 'Рассел Кроу']",157 мин
492,https://www.kinonews.ru/movie_45353/the-blind-side,Невидимая сторона,2009,The Blind Side,https://www.kinonews.ru/movie_45353/the-blind-side,8.25,['США'],"['драма', 'спорт']",Джон Ли Хэнкок,"['Сандра Баллок', 'Тим МакГроу']",129 мин
493,https://www.kinonews.ru/movie_2796/crash,Столкновение,2004,Crash,https://www.kinonews.ru/movie_2796/crash,8.25,"['США', 'Германия']","['драма', 'криминал']",Пол Хаггис,"['Карина Арройяве', 'Дато Бахтадзе']",112 мин
494,https://www.kinonews.ru/movie_88/finding-neverland,Волшебная страна,2004,Finding Neverland,https://www.kinonews.ru/movie_88/finding-neverland,8.25,"['США', 'Великобритания']","['биографический', 'драма', 'семейный']",Марк Форстер,"['Джонни Депп', 'Кейт Уинслет']",106 мин
495,https://www.kinonews.ru/movie_146614/mission-impossible-5,Миссия невыполнима 5: Племя изгоев,2015,Mission: Impossible - Rogue Nation,https://www.kinonews.ru/movie_146614/mission-impossible-5,8.24,['США'],"['боевик', 'приключения', 'триллер']",Кристофер МакКуорри,"['Том Круз', 'Джереми Реннер']",131 мин
496,https://www.kinonews.ru/movie_173810/gone-girl,Исчезнувшая,2014,Gone Girl,https://www.kinonews.ru/movie_173810/gone-girl,8.24,['США'],"['драма', 'триллер']",Дэвид Финчер,"['Розамунд Пайк', 'Бен Аффлек']",149 мин
497,https://www.kinonews.ru/movie_2887/the-fighter,Боец,2010,The Fighter,https://www.kinonews.ru/movie_2887/the-fighter,8.24,['США'],"['биографический', 'драма', 'спорт']",Дэвид О. Расселл,"['Эми Адамс', 'Кристиан Бейл']",116 мин
498,https://www.kinonews.ru/movie_252/minority-report,Особое мнение,2002,Minority Report,https://www.kinonews.ru/movie_252/minority-report,8.24,['США'],"['боевик', 'детектив', 'триллер', 'фантастика']",Стивен Спилберг,"['Том Круз', 'Макс фон Сюдов']",145 мин
499,https://www.kinonews.ru/movie_2836/pitch-black,Черная дыра,2000,Pitch Black,https://www.kinonews.ru/movie_2836/pitch-black,8.24,"['США', 'Австралия']","['боевик', 'приключения', 'триллер', 'ужасы', 'фантастика']",Дэвид Туи,"['Вин Дизель', 'Рада Митчелл']",109 мин
500,https://www.kinonews.ru/movie_277297/gisaengchung,Паразиты,2019,Gisaengchung,https://www.kinonews.ru/movie_277297/gisaengchung,8.24,['Корея Южная'],"['драма', 'комедия', 'триллер']",Пон Джун-хо,"['Сон Кан Хо', 'У-щик Чхве']",132 мин
