,url,name,year,en_name,poster_url,rating,world_fees,budget,country,genre,director,main_actors,lentgh
3796,https://www.kinonews.ru/movie_318637/ha-roo,Один день,2017,Ha-roo,https://www.kinonews.ru/movie_318637/ha-roo,9.0,$7 868 316,0,['Корея Южная'],"['боевик', 'драма', 'триллер', 'фантастика']",Чо Сон-хо,"['Ким Мен-мин', 'Пен Е-хан']",90 мин
3797,https://www.kinonews.ru/movie_4368/dead-calm,Мертвый штиль,1989,Dead Calm,https://www.kinonews.ru/movie_4368/dead-calm,8.62,$7 825 009,$10 400 000,['Австралия'],"['драма', 'триллер']",Филлип Нойс,"['Сэм Нилл', 'Николь Кидман']",96 мин
3798,https://www.kinonews.ru/movie_25391/goal-ii-living-the-dream,Гол 2: Жизнь как мечта,2007,Goal II: Living the Dream,https://www.kinonews.ru/movie_25391/goal-ii-living-the-dream,7.56,$7 815 977,$30 000 000,['Великобритания'],"['драма', 'спорт']",Жауме Кольет-Серра,"['Рутгер Хауэр', 'Ник Кэннон']",
3799,https://www.kinonews.ru/movie_7716/igor,Игорь,2008,Igor,https://www.kinonews.ru/movie_7716/igor,7.13,$7 803 347,$30 000 000,"['США', 'Франция']","['комедия', 'мультфильм']",Энтони Леондис,"['Джон Кьюсак', 'Майлин Класс']",
3800,https://www.kinonews.ru/movie_1722/bangkok-dangerous,Опасный Бангкок,2008,Bangkok Dangerous,https://www.kinonews.ru/movie_1722/bangkok-dangerous,7.34,$7 800 000,$40 000 000,['США'],"['боевик', 'криминал', 'триллер']","Оксид Пэнг Чун, Дэнни Пэнг","['Николас Кейдж', 'Шакрит Ямнарм']",
3801,https://www.kinonews.ru/movie_111332/if-looks-could-kill,Если бы взгляды могли убивать,1991,If Looks Could Kill,https://www.kinonews.ru/movie_111332/if-looks-could-kill,9.0,$7 788 597,0,['США'],"['боевик', 'комедия', 'приключения']",Уильям Дир,"['Ричард Греко', 'Линда Хант']",
3802,https://www.kinonews.ru/movie_20985/p2,Парковка,2007,P2,https://www.kinonews.ru/movie_20985/p2,8.33,$7 766 240,$8 000 000,['США'],"['триллер', 'ужасы']",Франк Халфун,"['Уэс Бентли', 'Рейчел Николс']",
3803,https://www.kinonews.ru/movie_18341/enemies-a-love-story,"Враги, история любви",1989,Enemies: A Love Story,https://www.kinonews.ru/movie_18341/enemies-a-love-story,0.0,$7 754 571,0,['США'],"['драма', 'комедия', 'мелодрама']",Пол Мазурски,"['Илья Баскин', 'Анджелика Хьюстон']",
3804,https://www.kinonews.ru/movie_27099/tupac-resurrection,Тупак: Воскрешение,2003,Tupac: Resurrection,,10.0,$7 743 626,0,['США'],"['биографический', 'документальный', 'музыка']",Лорен Лазин,"['Рэппин 4-Тэй', 'Конрад Бэйн']",
3805,https://www.kinonews.ru/movie_40370/harry-brown,Гарри Браун,2009,Harry Brown,https://www.kinonews.ru/movie_40370/harry-brown,8.67,$7 704 046,$7 300 000,['Великобритания'],"['драма', 'криминал', 'триллер']",Дэниэл Барбер,"['Майкл Кейн', 'Эмили Мортимер']",
3806,https://www.kinonews.ru/movie_10673/mr-i-mrs-bridge,Мистер и миссис Бридж,1990,Mr. & Mrs. Bridge,https://www.kinonews.ru/movie_10673/mr-i-mrs-bridge,0.0,$7 698 010,0,"['США', 'Великобритания']",['драма'],Джеймс Айвори,"['Пол Ньюман', 'Джоанн Вудворд']",
3807,https://www.kinonews.ru/movie_1803/runaway-train,Поезд-беглец,1985,Runaway Train,https://www.kinonews.ru/movie_1803/runaway-train,7.87,$7 683 620,0,"['США', 'Израиль']","['боевик', 'драма', 'приключения', 'триллер']",Андрей Кончаловский,"['Джон Войт', 'Эрик Робертс']",
