,url,description
35,https://www.kinonews.ru/movie_7331/the-lion-king,"На глаза у малыша Симбы погиб его отец, король Лев Муфаса. Спасаясь от мести интригана дяди Шрама, в панике Симба сбежал из родной стаи в тропические джунгли. Слегка оправившись от шока, львенок начал привыкать к новой обстановке. Тем более, что скоро в его жизни появилось два самых веселых в мире друга. Но нельзя отречься от своего прошлого, повзрослевшему Симбе все же придется вернуться в дом во имя справедливости."
36,https://www.kinonews.ru/movie_187682/star-wars-spinoff,"Сюжет фильма разворачивается до событий ""Новой надежды"". Повстанцам становится известно, что Империя построила самую сокрушительную боевую станцию, главной особенностью которой является уничтожение целых планет. Чтобы предотвратить надвигающуюся катастрофу, альянс повстанцев отправляет для захвата чертежей станции специальную команду под командованием бывшей преступницы  Джин Эрсо. Но они и не подозревают, что противостоять им будет... сам Дарт Вейдер..."
37,https://www.kinonews.ru/movie_257172/aladdin,"В основу фильма положен сюжет мультфильма ""Аладдин"" 1992 года, о воришке, который находит волшебную лампу с Джином и с помощью его магии попадает во дворец, где оказывается рядом с прекрасной принцессой Жасмин..."
38,https://www.kinonews.ru/movie_39844/pirates-of-the-caribbean-on-stranger-tides,"Собирающиеся отправиться на поиски легендарного фонтана молодости Джек Воробей и Гектор Барбосса попадают в плен к капитану Черная Борода и его дочери, которые также желают найти чудодейственный фонтан."
39,https://www.kinonews.ru/movie_177569/despicable-me-3,"После многих лет разлуки, Грю встречает своего брата близнеца, который добился гораздо больше успехов в жизни. Он предлагает Грю объединить свои криминальные навыки, чтобы провернуть преступление века."
40,https://www.kinonews.ru/movie_947/jurassic-park,"Ученые смогли возродить доисторических динозавров, использовав клетки ДНК из следов их крови. Динозавры - это не только необычно, это еще и прибыльно. И вот, перед тем как открыть на острове свое неповторимое сафари, директор будущего парка Юрского периода приглашает к себе группу исследователей-ученых из разных областей.Но момент был выбран не самый удачный: разыгралась гроза, да еще и один из сотрудников, пытавшийся украсть образцы эмбрионов, выключил систему безопасности. Динозавры на свободе, их инстинкты говорят сами за себя. Оставаться на острове опасно, но и сбежать с него не так-то просто. "
41,https://www.kinonews.ru/movie_134903/finding-nemo-2,"Мультфильм о приключениях страдающей провалами памяти доброжелательной рыбки Дори, мечтающей побороть свой недуг и отыскать свою семью..."
42,https://www.kinonews.ru/movie_117/star-wars-episode-i-the-phantom-menace,"Давным-давно, в далекой галактике... Так начинается первая сага о Звездных войнах. Торговая федерация хочет прекратить платить налоги и вступает в военный конфликт с королевой Амидалой, которая правит на планете. На помощь королеве приходят два верных рыцаря джедая - мудрый учитель - Квай-Гон-Джин и юный ученик Оби-Ван Кеноби. Случайно на одной из планет они знакомятся с ребенком - Анакином Скайуокером - обладающий скрытыми талантами и особым даром, который дает ему право стать великим воином Джедаев..."
43,https://www.kinonews.ru/movie_986/alice-in-wonderland,"Новая версия знаменитого произведения Льюиса Кэрролла. Фильм снят с использованием технологии Performance Capture. 19-летняя Алиса бежит из-под венца в Страну Чудес, где вновь встречается с ее обитателями. Ей предстоит узнать свое предназначение и покончить с деспотизмом Красной Королевы."
44,https://www.kinonews.ru/movie_191228/zootopia,"Зверополис — это огромный город, где бок о бок друг с другом живут хищные и травоядные животные, которые в ходе эволюции вот уже несколько сотен лет сосуществуют в мире и дружбе. Сюда в город приезжает жизнерадостная крольчиха по имени Джуди Хоппс, чтобы исполнить давнюю мечту детства — стать полезной и помогать другим зверям, поступив на службу в полицию. Однако реальная жизнь в Зверополисе оказывается куда более сложной, чем она себе представляла."
