url,name,year,en_name,poster_url,rating,world_fees,budget,country,genre,director,main_actors,lentgh,description
https://www.kinonews.ru/movie_45404/tres-dias,Три дня,2008,Tres dias,https://www.kinonews.ru/movie_45404/tres-dias,7.0,$328 946,0,['Испания'],"['драма', 'криминал', 'триллер', 'фантастика']",Ф. Хавьер Гутьеррес,"['Виктор Клавихо', 'Мариана Сорберо']",93 мин,"Главные герои фильма узнают, что через 72 часа человечество погибнет, когда в землю врежется огромный метеорит. Но даже перед лицом ужасной катастрофы они стараются сохранить главное, что у них есть - семью..."
https://www.kinonews.ru/movie_52027/formosa-betrayed,Предательство Формозы,2009,Formosa Betrayed,https://www.kinonews.ru/movie_52027/formosa-betrayed,0.0,$326 034,0,['США'],['триллер'],Адам Кэйн,"['Джон Херд', 'Томми Бартлетт']",,"Агент ФБР, прибывший на Тайвань, чтобы отыскать людей, убивших в Чикаго демократического активиста и тайваньского профессора, узнает о том, что заказчиками этих убийств являются высокопоставленные члены тайваньского правительства."
https://www.kinonews.ru/movie_92382/the-cement-garden,Цементный сад,1993,The Cement Garden,https://www.kinonews.ru/movie_92382/the-cement-garden,0.0,$322 975,0,"['Франция', 'Германия', 'Великобритания']",['драма'],Эндрю Биркин,"['Шарлотта Генсбур', 'Шинед Кьюсак']",,"После смерти мужа его вдова начинает страдать от загадочной болезни и, не желая оставлять детей в будущем без средств к существованию, открывает на их имена счета в банке, куда кладет все свои сбережения."
https://www.kinonews.ru/movie_18853/shichinin-no-samurai,Семь самураев,1954,Seven Samurai,https://www.kinonews.ru/movie_18853/shichinin-no-samurai,8.92,$322 773,$500 000,['Япония'],"['боевик', 'драма', 'приключения']",Акира Куросава,"['Такаши Шимура', 'Тосиро Мифунэ']",207 мин,"Исторический фильм, действие которого происходит в средневековой Японии, раздираемой гражданской войной. Жители одного селения для своей защиты нанимают семерых самураев, которые сражаются с разбойниками, нападающих на этот городок."
https://www.kinonews.ru/movie_21955/the-safety-of-objects,Безопасность вещей,2001,The Safety of Objects,https://www.kinonews.ru/movie_21955/the-safety-of-objects,6.0,$319 299,0,"['США', 'Великобритания']",['драма'],Роуз Троше,"['Кристен Стюарт', 'Патриция Кларксон']",," Рассказ о четырех семьях, живущих в пригороде и время от времени пересекающихся. Жизнь Эстер заполнена заботой о сыне, находящемся в коме. Джим на пороге активного карьерного роста. Аннет переживает развод. Хелен пытается перевернуть все в своей жизни, чтобы добавить в нее ярких цветов. "
https://www.kinonews.ru/movie_7399/promised-land,Далекие мечты,1987,Promised Land,https://www.kinonews.ru/movie_7399/promised-land,0.0,$316 199,0,['США'],['драма'],Майкл Хоффман,"['Мег Райан', 'Джейсон Гедрик']",,"Хэнкок был баскетбольной звездой, Дэнни - компьютерным гением. С тех пор, как они закончили школу, они никогда не теряли связи. И вот, спустя столько лет, они вновь вернулись в родной Нешвилл. Но вместо блеска и вечного праздника, они обнаружили совсем другую картину.Друзья принадлежали типичному среднему классу, но всегда лелеяли надежду стать героями волшебной истории, воплотить американскую мечту. Разочарование же оказалось слишком сильным. "
https://www.kinonews.ru/movie_28889/under-solen,Под солнцем,1998,Under solen,,0.0,$316 020,0,['Швеция'],"['драма', 'мелодрама']",Колин Натли,"['Рольф Лассгард', 'Хелена Бергштром']",," Олоф жил на ферме один. Он не умел ни писать, ни читать, и полностью зависел от своего друга Эрика, помогавшего ему во всем. Олофу всегда хотелось той же жизни, чтобы была у моряка Эрика. Поэтому когда он узнал о том количестве женщин, которые побывали в постели его друга, он решил не отставать, и дал в газету объявление. Вскоре он взял на должность домоправительницы молодую Эллен. "
https://www.kinonews.ru/movie_13601/standard-operating-procedure,Стандартная процедура,2008,Standard Operating Procedure,https://www.kinonews.ru/movie_13601/standard-operating-procedure,0.0,$314 786,0,['США'],"['военный', 'документальный', 'криминал']",Эррол Моррис,"['Кристофер Брэдли', 'Сара Дэннинг']",,"Абу-Грейб одна из самых сканадльно-известных тюрем США. Пытки, допросы, нарушения всевозможных прав человека. Собственное расследование этих вопросов Эрролом Моррисом."
https://www.kinonews.ru/movie_27687/elling,Эллинг,2001,Elling,,0.0,$314 729,0,['Норвегия'],"['драма', 'комедия']",Петтер Нэсс,"['Пер Кристиан Эллефсен', 'Свен Нордин']",," После смерти матери, под наплывом чувствительности, Эллинг решил уйти в поэты. Оставив всю свою жизнь, он отправился ... в психиатрическую клинику. Но даже она могла спасти его от несокрушимой реальности мира навсегда. Прошло два года, Эллингу вновь нужно вернуться в свой дом. Но теперь у него за спиной не только горькие воспоминания, но и парочка ненормальных друзей.  "
https://www.kinonews.ru/movie_7739/nebo-samolet-devushka,Небо. Самолет. Девушка.,2002,,https://www.kinonews.ru/movie_7739/nebo-samolet-devushka,9.14,$314 195,0,['Россия'],"['драма', 'мелодрама']",Вера Сторожева,"['Константин Хабенский', 'Михаил Ефремов']",,"Они познакомились в пустом кафе. Они начали встречаться. Он постоянно улетал из города в командировки. Она улетала тоже, потому что это была ее профессия, летать. Но они никогда не забывали друг о друге - встречались на улицах,  в ночном метро, в полузабытых квартирах. И наконец он понял, что просто не может больше без нее жить."
